"new_dust_label","scan_name","new_center_x","new_center_y","new_radius","new_center_z","scan_order","cluster"
17,"scan-012.x3p",1657.5,1143.5,9.48683298050514,-0.0068629770539701,-12,"26"
18,"scan-012.x3p",966.5,1037.5,15.0332963783729,-0.00668544322252274,-12,"5"
19,"scan-012.x3p",63.5,967.5,195.358644548942,0.0251883585005999,-12,"6"
20,"scan-012.x3p",1584.5,921.5,19.9248588451713,-0.0169752575457096,-12,"7"
21,"scan-012.x3p",221.5,925.5,9.05538513813742,-0.00398405035957694,-12,"6"
22,"scan-012.x3p",2375.5,825.5,32.8937684067971,-0.058474387973547,-12,"21"
24,"scan-012.x3p",194.5,703.5,15.2970585407784,-0.0201060138642788,-12,"8"
25,"scan-012.x3p",2352.5,681.5,10,-0.0673333257436752,-12,"21"
26,"scan-012.x3p",224.5,636.5,20.0997512422418,-0.021897479891777,-12,"12"
27,"scan-012.x3p",2198.5,609.5,9.48683298050514,-0.0693336427211761,-12,"21"
28,"scan-012.x3p",1640.5,529.5,20.0997512422418,-0.0559898093342781,-12,"27"
29,"scan-012.x3p",198.5,485.5,62.2896460095897,-0.0319158807396889,-12,"12"
30,"scan-012.x3p",2349.5,412.5,30.364452901378,-0.0828892737627029,-12,"9"
31,"scan-012.x3p",2244.5,412.5,18.6815416922694,-0.080203004181385,-12,"9"
32,"scan-012.x3p",287.5,413.5,14,-0.0348479673266411,-12,"13"
33,"scan-012.x3p",205.5,390.5,85.5102333057278,-0.0351791679859161,-12,"13"
34,"scan-012.x3p",249.5,207.5,19.4164878389476,-0.0422815605998039,-12,"10"
35,"scan-012.x3p",2316.5,137.5,76.0065786626395,-0.0964382141828537,-12,"28"
36,"scan-012.x3p",1112.5,136.5,20.0249843945008,-0.0597350783646107,-12,"11"
37,"scan-012.x3p",248.5,10.5,20.0997512422418,-0.0503366068005562,-12,"10"
1,"scan-013.x3p",296.5,2025.5,49.7292670366254,0.0211312249302864,-13,"1"
2,"scan-013.x3p",2271.5,1967.5,10.770329614269,0.0186527855694294,-13,"22"
3,"scan-013.x3p",1868.5,1893.5,20.0997512422418,0.0204843897372484,-13,"17"
4,"scan-013.x3p",2355.5,1497.5,22.3606797749979,0.00635532848536968,-13,"20"
5,"scan-013.x3p",2037.5,1449.5,51.8555686498567,-0.00339321955107152,-13,"25"
6,"scan-013.x3p",863.5,1253.5,17.1172427686237,-0.0115717770531774,-13,"2"
7,"scan-013.x3p",30.5,1202.5,25,-0.017497792840004,-13,"4"
8,"scan-013.x3p",1724.5,1169.5,10.0498756211209,-0.0124011775478721,-13,"26"
9,"scan-013.x3p",1025.5,1060.5,19.1049731745428,-0.0106796370819211,-13,"5"
10,"scan-013.x3p",178.5,890.5,104.048065815757,-0.0125305503606796,-13,"6"
11,"scan-013.x3p",1744.5,970.5,10.0498756211209,-0.0143919754773378,-13,"7"
12,"scan-013.x3p",1649.5,922.5,23.7697286480094,0.00772249000146985,-13,"7"
13,"scan-013.x3p",279.5,751.5,36.1247837363769,-0.00487569998949766,-13,"8"
14,"scan-013.x3p",287.5,684.5,20.6155281280883,-0.000958391989115626,-13,"8"
15,"scan-013.x3p",2412.5,683.5,10.0498756211209,-0.00490461848676205,-13,"21"
16,"scan-013.x3p",2253.5,619.5,9.4339811320566,-0.00164694199338555,-13,"21"
17,"scan-013.x3p",1688.5,538.5,19.1049731745428,0.0026125330477953,-13,"27"
18,"scan-013.x3p",293.5,492.5,55.9732078766261,0.00423315353691578,-13,"12"
19,"scan-013.x3p",339.5,461.5,15.0332963783729,0.00348552549257874,-13,"13"
20,"scan-013.x3p",1476.5,437.5,30.886890422961,0.00383399822749197,-13,"27"
21,"scan-013.x3p",273.5,385.5,57.4891294072192,0.0061547695659101,-13,"13"
